timeMs,evt,a,b,c,d,s
412830,5,-0.631690674753601,-1.5,0.505352539802881,-1.62633813495072,
413914,1,0,27.7,28.2058025595418,-1.71136063593767,CL
413914,5,-0.551450639885461,-1.5,0.340090003947793,-1.71136063593767,
415045,1,0,26.6,27.6695986878845,-1.75256844314436,CL
415045,5,-0.417399671971125,-1.5,0.164831228826766,-1.75256844314436,
416038,1,0,30.3,28.4646866157761,-1.82528908530429,CL
416038,5,-0.616171653944035,-1.5,0.29088256863974,-1.82528908530429,
417033,1,0,30.2,28.9620543880429,-1.90833398764558,CL
417033,5,-0.740513597010726,-1.5,0.332179609365145,-1.90833398764558,
418030,1,0,30.1,29.2791582911299,-1.99062510467296,CL
418030,5,-0.819789572782465,-1.5,0.329164468109507,-1.99062510467296,
419026,1,0,30.2,29.5318826833986,-2.0690942179083,CL
419026,5,-0.882970670849647,-1.5,0.313876452941351,-2.0690942179083,
420032,1,0,29.9,29.6322879202071,-2.13688977033699,CL
420032,5,-0.908071980051773,-1.5,0.271182209714782,-2.13688977033699,
421034,1,0,30,29.7321743846706,-2.19612053550312,CL
421034,5,-0.933043596167654,-1.5,0.23692306066453,-2.19612053550312,
422141,1,0,27.2,29.0317987111481,-2.2084863639599,CL
422141,5,-0.757949677787029,-1.5,0.0494633138271244,-2.2084863639599,
423845,1,0,17.7,25.5312869370723,0.95664656197846,CL
423845,5,0.117178265731918,1.5,-0.660531703753458,0.95664656197846,
425250,1,0,21.4,24.2503221790758,1.15280114062898,CL
425250,5,0.437419455231046,1.5,-0.784618314602069,1.15280114062898,
425250,2,0,1,21.4,0,MEDIUM
427735,1,1,24.2,24.2322875211375,1.31243000224014,CL
427735,5,0.441928119715628,1.5,-0.629498117475488,1.31243000224014,
429820,1,1,28.8,25.8848430260764,1.1904462999944,CL
429820,5,0.0287892434808983,1.5,-0.338342943486499,1.1904462999944,
432006,1,1,27.5,26.4780014136848,-1.83085886944956,CL
432006,5,-0.119500353421194,-1.5,-0.211358516028362,-1.83085886944956,
434966,1,1,20.3,24.0144264764642,1.58094907433921,CL
434966,5,0.496393380883957,1.5,-0.41544430654475,1.58094907433921,
434966,2,1,2,20.3,0,LOW
438629,1,2,24.6,24.2682426438634,1.61750497162496,CL
438629,5,0.432939339034139,1.5,-0.315434367409182,1.61750497162496,
441676,1,2,29.6,26.5325081843922,-1.73452350399015,CL
441676,5,-0.133127046098051,-1.5,-0.101396457892095,-1.73452350399015,
444637,1,2,30.4,28.1524713053739,-2.01123745125837,CL
444637,5,-0.538117826343471,-1.5,0.0268803750851028,-2.01123745125837,
444637,2,2,0,30.4,0,MEDIUM
445925,1,0,23.3,26.4353466739771,-1.93075729470555,CL
445925,5,-0.108836668494277,-1.5,-0.321920626211273,-1.93075729470555,
447151,1,0,24.5,25.8107966376829,1.00290476710778,CL
447151,5,0.0473008405792728,1.33805043475637,-0.382446508227858,1.00290476710778,
