timeMs,evt,a,b,c,d,s
190403,5,-0.930595601956995,-1.5,0.201769645610479,-2.22882595634652,
191410,1,0,29.8,29.7441045016145,-2.27026599015794,CL
191410,5,-0.936026125403629,-1.5,0.16576013524569,-2.27026599015794,
192415,1,0,29.9,29.7870617460145,-2.30556587942708,CL
192415,5,-0.946765436503636,-1.5,0.141199557076558,-2.30556587942708,
193405,1,0,30.3,29.926832286983,-2.34079431789081,CL
193405,5,-0.981708071745748,-1.5,0.140913753854936,-2.34079431789081,
194405,1,0,30,29.9466898021711,-2.3699699444212,CL
194405,5,-0.986672450542775,-1.5,0.116702506121571,-2.3699699444212,
194878,4,0,30,26,0,MEDIUM
195983,1,0,27.1,28.4740819710969,-1.62370409855484,CL
195983,5,-0.618520492774224,-1.5,0.494816394219379,-1.62370409855484,
196971,1,0,30.4,29.2148040887619,-1.75970348328197,CL
196971,5,-0.803701022190469,-1.5,0.5439975389085,-1.75970348328197,
198127,1,0,26,28.1429065876134,-1.81490811600624,CL
198127,5,-0.535726646903343,-1.5,0.220818530897099,-1.81490811600624,
199175,1,0,28.6,28.2821823641983,-1.86603561101491,CL
199175,5,-0.57054559104957,-1.5,0.204509980034661,-1.86603561101491,
200462,1,0,23.3,26.7757826297519,-1.83161762029952,CL
200462,5,-0.193945657437986,-1.5,-0.137671962861539,-1.83161762029952,
201476,1,0,29.6,27.5881015346764,-1.84469917297344,CL
201476,5,-0.397025383669091,-1.5,0.0523262106956532,-1.84469917297344,
202652,1,0,25.5,26.9859540317714,-1.82505703996732,CL
202652,5,-0.246488507942841,-1.5,-0.0785685320244777,-1.82505703996732,
203938,1,0,23.3,25.9012914596792,-0.274482100145282,CL
203938,5,0.0246771350802089,-0.0193718951874686,-0.279787340038022,-0.274482100145282,
204917,1,0,30.6,27.2249011270448,-1.76533322031849,CL
204917,5,-0.306225281761207,-1.5,0.0408920614427149,-1.76533322031849,
206017,1,0,27.3,27.2460378941041,-1.77456847096,CL
206017,5,-0.311509473526025,-1.5,0.0369410025660262,-1.77456847096,
207009,1,0,30.2,28.0604594113115,-1.82267774733357,CL
207009,5,-0.515114852827876,-1.5,0.192437105494302,-1.82267774733357,
208006,1,0,30.1,28.6171343040825,-1.88899891307098,CL
208006,5,-0.654283576020621,-1.5,0.265284662949638,-1.88899891307098,
209017,1,0,29.7,28.9119118376349,-1.95679472233853,CL
209017,5,-0.727977959408721,-1.5,0.27118323707019,-1.95679472233853,
210030,1,0,29.6,29.0990329669391,-2.02038742621778,CL
210030,5,-0.774758241734767,-1.5,0.254370815516989,-2.02038742621778,
211011,1,0,30.6,29.5044384419401,-2.09153186307123,CL
211011,5,-0.876109610485017,-1.5,0.284577747413791,-2.09153186307123,
212119,1,0,27.1,28.8412159303558,-2.11528628697477,CL
212119,5,-0.710303982588954,-1.5,0.0950176956141826,-2.11528628697477,
213110,1,0,30.3,29.2390141250468,-2.15417973583216,CL
213110,5,-0.809753531261709,-1.5,0.15557379542955,-2.15417973583216,
214116,1,0,29.8,29.3915027327041,-2.19291892530093,CL
214116,5,-0.847875683176018,-1.5,0.154956757875087,-2.19291892530093,
215306,1,0,25.2,28.2136862182,-2.16501945115075,CL
215306,5,-0.553421554550012,-1.5,-0.111597896600735,-2.16501945115075,
216669,1,0,22,26.3841683316073,-2.05122397750096,CL
216669,5,-0.0960420829018256,-1.5,-0.455181894599137,-2.05122397750096,
218052,1,0,21.7,24.9693924345673,1.11055119627086,CL
218052,5,0.257651891358164,1.5,-0.647100695087302,1.11055119627086,
219375,1,0,22.7,24.2821929745452,1.27433130828943,CL
219375,5,0.429451756363697,1.5,-0.655120448074268,1.27433130828943,
219375,2,0,1,22.7,0,MEDIUM
221575,1,1,27.3,25.318266961094,1.24994429992197,CL
221575,5,0.170433259726503,1.5,-0.420488959804536,1.24994429992197,
223697,1,1,28.3,26.3831279990455,-1.82568706380985,CL
223697,5,-0.095781999761372,-1.5,-0.229905064048479,-1.82568706380985,
225800,1,1,28.5,27.1494616069136,-1.89465609218038,CL
225800,5,-0.287365401728408,-1.5,-0.107290690451969,-1.89465609218038,
227805,1,1,29.9,28.1396692357196,-2.02172909841087,CL
227805,5,-0.534917308929888,-1.5,0.0131882105190168,-2.02172909841087,
227805,2,1,0,29.9,0,MEDIUM
228813,1,0,29.8,28.6634138425613,-2.05055397085676,CL
228813,5,-0.665853460640318,-1.5,0.115299489783558,-2.05055397085676,
229813,1,0,30,29.0557137400956,-2.09322886369019,CL
229813,5,-0.763928435023902,-1.5,0.170699571333713,-2.09322886369019,
230807,1,0,30.2,29.3784916575699,-2.14350767383064,CL
230807,5,-0.844622914392463,-1.5,0.20111524056182,-2.14350767383064,
231813,1,0,29.8,29.4951507444345,-2.18956367628624,CL
231813,5,-0.873787686108634,-1.5,0.184224009822392,-2.18956367628624,
233032,1,0,24.6,28.0998716636625,-2.15664452421212,CL
233032,5,-0.524967915915637,-1.5,-0.131676608296484,-2.15664452421212,
234335,1,0,23,26.6033018193095,-2.05548071033517,CL
234335,5,-0.150825454827373,-1.5,-0.404655255507798,-2.05548071033517,
235706,1,0,21.9,25.1877520938746,1.09622782703814,CL
235706,5,0.203061976531362,1.5,-0.606834149493227,1.09622782703814,
237107,1,0,21.4,24.0284315011353,1.27556068657374,CL
237107,5,0.492892124716178,1.5,-0.717331438142434,1.27556068657374,
237107,2,0,1,21.4,0,MEDIUM
239736,1,1,22.8,23.5829536683729,1.48584864911659,CL
239736,5,0.60426158290678,1.5,-0.618412933790188,1.48584864911659,
241677,1,1,30.9,26.1997620024159,-1.78299001423183,CL
241677,5,-0.0499405006039835,-1.5,-0.233049513627845,-1.78299001423183,
243781,1,1,28.5,27.0330412170949,-1.86137199370811,CL
243781,5,-0.258260304273728,-1.5,-0.103111689434378,-1.86137199370811,
245838,1,1,29.2,27.8179738077525,-1.95848954441987,CL
245838,5,-0.454493451938124,-1.5,-0.00399609248174444,-1.95848954441987,
245838,2,1,0,29.2,0,MEDIUM
246778,1,0,31.9,29.0968490437968,-2.02163408772574,CL
